job_title,salary_range,company_profile,requirements,fraudulent
Web Developer,36387 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,30654 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
International Job With Free Visa,19803 per month,"No official address, only online presence",Click ads and get paid instantly,1
Freelance Job Without Skills,48587 per month,No verified contact details available,"Immediate start, limited positions available",1
Freelance Job Without Skills,11226 per month,"No official address, only online presence",Click ads and get paid instantly,1
Web Developer,65462 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Customer Support Executive,87007 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Data Analyst,57984 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Part-Time Typing Job,12464 per month,Newly launched company offering huge income,"No interview, just register online",1
Easy Income Job,32542 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Network Administrator,54458 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Freelance Job Without Skills,47053 per month,No verified contact details available,"No interview, just register online",1
Urgent Hiring - No Interview,26376 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Work From Home - Earn $5000 Weekly,36697 per month,Company promises instant returns,"No experience required, just internet access",1
Software Engineer,56589 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Software Engineer,57095 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Part-Time Typing Job,10101 per month,No verified contact details available,"Immediate start, limited positions available",1
Financial Analyst,68911 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Software Engineer,43288 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Network Administrator,53676 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Part-Time Typing Job,16996 per month,Company promises instant returns,"No interview, just register online",1
Web Developer,59832 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
International Job With Free Visa,46217 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Get Paid Daily From Home,18262 per month,"No official address, only online presence","No experience required, just internet access",1
Financial Analyst,38444 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Marketing Manager,70037 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Get Paid Daily From Home,32982 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Software Engineer,84121 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Get Paid Daily From Home,11267 per month,"No official address, only online presence","No interview, just register online",1
Customer Support Executive,53299 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
International Job With Free Visa,30034 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Network Administrator,72713 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,73350 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Network Administrator,42392 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Web Developer,33729 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Customer Support Executive,49621 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Part-Time Typing Job,15648 per month,"No official address, only online presence",Click ads and get paid instantly,1
Freelance Job Without Skills,44935 per month,No verified contact details available,Work 2 hours a day and earn big,1
International Job With Free Visa,31776 per month,No verified contact details available,"No interview, just register online",1
Freelance Job Without Skills,41210 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Urgent Hiring - No Interview,20350 per month,Company promises instant returns,"Immediate start, limited positions available",1
Freelance Job Without Skills,10594 per month,No verified contact details available,"No experience required, just internet access",1
Data Entry Without Experience,13254 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Online Form Filling Job,39494 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Marketing Manager,85231 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Instant Joining Job,47787 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Financial Analyst,61334 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Get Paid Daily From Home,15559 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Urgent Hiring - No Interview,43604 per month,No verified contact details available,"Immediate start, limited positions available",1
Sales Associate,78575 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Network Administrator,31635 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
HR Specialist,39880 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Sales Associate,48089 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Online Form Filling Job,17222 per month,No verified contact details available,"No interview, just register online",1
Sales Associate,53854 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Network Administrator,39082 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Customer Support Executive,53113 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Data Analyst,74010 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
HR Specialist,53399 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,60384 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,13402 per month,No verified contact details available,"Immediate start, limited positions available",1
Get Paid Daily From Home,21506 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Customer Support Executive,86478 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Software Engineer,39587 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Easy Income Job,48556 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Work From Home - Earn $5000 Weekly,39513 per month,"No official address, only online presence","Immediate start, limited positions available",1
Data Entry Without Experience,33134 per month,No verified contact details available,"No interview, just register online",1
Marketing Manager,40232 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Part-Time Typing Job,26337 per month,No verified contact details available,"No experience required, just internet access",1
Part-Time Typing Job,19581 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Sales Associate,63148 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Web Developer,87288 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,49975 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
International Job With Free Visa,15969 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Network Administrator,82679 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Customer Support Executive,49886 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Instant Joining Job,41203 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Software Engineer,89790 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Software Engineer,45873 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,13031 per month,Company promises instant returns,"No interview, just register online",1
Urgent Hiring - No Interview,41161 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Customer Support Executive,87692 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Instant Joining Job,12211 per month,No verified contact details available,Click ads and get paid instantly,1
Marketing Manager,42061 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Graphic Designer,73423 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Customer Support Executive,74549 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Web Developer,36019 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Financial Analyst,75158 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Work From Home - Earn $5000 Weekly,43261 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Work From Home - Earn $5000 Weekly,25836 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
HR Specialist,43263 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Urgent Hiring - No Interview,21437 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Urgent Hiring - No Interview,26009 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
HR Specialist,63420 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
